"","date","city_name","province_level_region","city_type","latitude","longitude","temperature_2m_mean_c","temperature_2m_min_c","temperature_2m_max_c","apparent_temperature_max_c","precipitation_sum_mm","rain_sum_mm","wind_speed_10m_max_kmh","shortwave_radiation_sum_mj_m2","pm2_5_mean_ug_m3","pm10_mean_ug_m3","nitrogen_dioxide_mean_ug_m3","ozone_mean_ug_m3","us_aqi_daily_max","european_aqi_daily_max"
"204","2023-07-23","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.2,25.8,32.3,39.2,9,9,17.9,18.58,49.454,70.813,82.713,59.375,155,90
"205","2023-07-24","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.7,24.9,31.4,38,14.3,14.3,20.8,18.89,46.283,67.079,68.167,61.458,144,82
"206","2023-07-25","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.9,26.7,31.5,35.8,0.5,0.5,22.1,21.24,19.138,29.954,33.204,21.042,127,77
"207","2023-07-26","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.6,26.3,31.3,35.4,1.3,1.3,22.4,19.61,18.35,29.783,29.675,22.083,72,42
"208","2023-07-27","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.9,25.2,29.4,33.1,9.5,9.5,22.6,13.48,14.596,23.096,25.271,10.625,68,37
"209","2023-07-28","Shanghai","Shanghai","Municipality",31.2304,121.4737,27,25.4,28.8,31.5,14.1,14.1,31.1,11.58,11.308,18.204,21.188,16.042,61,29
"210","2023-07-29","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.3,26.5,28.3,31.8,13.9,13.9,28.5,7.87,13.129,20.829,24.537,10.625,58,26
"211","2023-07-30","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.2,26.8,30.5,34.2,1.2,1.2,27.1,15.28,13.883,22.021,25.421,12,59,28
"212","2023-07-31","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.1,25.3,31.3,36.7,1.3,1.3,22.6,23.93,13.796,22.162,29.242,20.25,60,29
"213","2023-08-01","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.7,25.5,30.9,35.7,1,1,23.7,20.33,13.05,23.262,24.208,35.792,59,31
"214","2023-08-02","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.6,26.6,31.4,37.2,0.7,0.7,21.8,24.79,13.821,24.708,25.846,47.667,62,31
"215","2023-08-03","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.6,26.7,31.2,35.3,0.4,0.4,25.6,24,11.879,20.483,24.75,37.75,59,28
"216","2023-08-04","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.6,26.5,31.6,36.5,0.1,0.1,22.8,24.42,12.188,20.538,29.7,34.583,56,28
"217","2023-08-05","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.8,26.4,31.9,37.7,0.5,0.5,18.8,23.54,16.158,25.988,43.721,28.958,62,37
"218","2023-08-06","Shanghai","Shanghai","Municipality",31.2304,121.4737,29,25.2,33.3,39.8,0.1,0.1,12.9,24.04,41.554,62.229,61.379,17.708,113,72
"219","2023-08-07","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.9,26.5,32.7,38.7,0.3,0.3,18.3,23.72,27.371,45.1,54.492,41.667,118,74
"220","2023-08-08","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.4,25.9,32.7,38.1,1.2,1.2,20.5,23.57,25.725,43.758,60.325,56.708,85,62
"221","2023-08-09","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.2,25.1,32.5,37.7,3.3,3.3,21.6,21.86,33.212,53.3,76.962,40.375,96,67
"222","2023-08-10","Shanghai","Shanghai","Municipality",31.2304,121.4737,29.2,25.9,33,37.7,0.3,0.3,18.6,23.82,38.442,60.317,75.879,42.042,103,69
"223","2023-08-11","Shanghai","Shanghai","Municipality",31.2304,121.4737,29.5,25.1,34.1,40,0.1,0.1,11,24.6,118.104,177.217,95.908,57.792,194,134
"224","2023-08-12","Shanghai","Shanghai","Municipality",31.2304,121.4737,29.9,26.2,34.5,40.7,0,0,14.9,25.64,41.967,63.504,48.608,78.417,195,134
"225","2023-08-13","Shanghai","Shanghai","Municipality",31.2304,121.4737,29.6,26.2,34.8,41.8,0,0,17.5,25.48,32.267,49.2,48.15,50.958,116,74
"226","2023-08-14","Shanghai","Shanghai","Municipality",31.2304,121.4737,29,26.3,32.5,38.3,2.7,2.7,15,21.09,15.267,25.175,53.812,44.5,96,67
"227","2023-08-15","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.2,26.1,30,33.6,2.9,2.9,14.2,9.83,20.446,35.025,47.467,38.625,69,38
"228","2023-08-16","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.9,24,32.2,39.2,0.8,0.8,10.2,22.99,73.492,111.337,78.333,28,159,95
"229","2023-08-17","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.7,24.6,31.2,36.9,5.5,5.5,9,18.72,80.625,120.029,72.313,36.25,180,118
